,From,Strip,Container name,Notes 1,Notes 2
5/20/2020 15:21,B10,A-1,A-1,1,
5/20/2020 15:21,b10,a2,a2,2,
5/20/2020 15:21,b10,a3,a3,3,
5/20/2020 15:22,b10,a4,a4,sacrificeied,very small
5/20/2020 15:24,b10,a5,a5,sacrificeied,very small
5/20/2020 15:25,b10,a6,a6,6,
5/20/2020 15:27,b10,a7,a7,sacrificed,very small
5/20/2020 15:28,b10,a8,a8,8,
5/20/2020 15:30,b10,b1,b1,sacrificed,very small
5/20/2020 15:31,b10,b2,b2,sac,small
5/20/2020 15:32,b10,b3,b3,b3,
5/20/2020 15:32,B4 gfp+,b4,b4,sac,
5/20/2020 15:32,B4 gfp+,b5,b5,sac,small
5/20/2020 15:39,B4 gfp+,b7,b7,b7,small
5/20/2020 15:42,B4 gfp+,b8,b8,b8,
5/20/2020 15:46,B4 gfp+,c1,c1,c1,
5/20/2020 15:50,B4 gfp+,c2,c2,c2,
5/20/2020 15:51,B4 gfp+,c3,c3,c3,
5/20/2020 15:55,B4 gfp+,C4,C4,C4,
5/20/2020 15:58,B4 gfp+,c5,c5,c5,
5/20/2020 16:02,B4 gfp+,c6,c6,c6,
5/20/2020 16:02,B4,c7,c7,c7,fish from c7 container and another larvae - bad sample
5/20/2020 16:04,B4,c8,c8,c8,small
5/20/2020 16:12,B4 gfp-,d1,d1,d1,
5/20/2020 16:12,B4 gfp-,d2,d2,d2,
5/20/2020 16:15,B4 gfp-,d3,d3,d3,
5/20/2020 16:17,B4 gfp-,d4,d4,d4,
5/20/2020 16:17,B4 gfp-,d5,d5,d5,
5/20/2020 16:19,B4 gfp-,d6,d6,d6,
5/20/2020 16:19,B4 gfp-,d7,d7,d7,
,,,,,
